Segment_From,Segment_To,Water Route Description
"Port of Shanghai, China","Port of Hamburg, Germany",East China Sea; Hangzhou Bay; Philippine Sea; South China Sea; Strait Of Malacca; Andaman Sea; Bay Of Bengal; Indian Ocean; Laccadive Sea; Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Singapore, Singapore","Port of Hamburg, Germany",South China Sea; Strait Of Malacca; Andaman Sea; Bay Of Bengal; Indian Ocean; Laccadive Sea; Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Ambarlı, Turkey","Port of Hamburg, Germany",Sea Of Marmara; Dardanelles Channel; Aegean Sea; Sea Of Crete; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Houston, USA","Port of Hamburg, Germany",Gulf Of Mexico; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Boston, USA","Port of Hamburg, Germany",Gulf Of Maine; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Hamburg, Germany","Port of Hamburg, Germany",Elbe River
"Port of Mundra, India","Port of Hamburg, Germany",Gulf Of Kutch; Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Santos, Brazil","Port of Hamburg, Germany",South Atlantic Ocean; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Osaka, Japan","Port of Hamburg, Germany",Inner Sea; Philippine Sea; South China Sea; Strait Of Malacca; Andaman Sea; Bay Of Bengal; Indian Ocean; Laccadive Sea; Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Busan, South Korea","Port of Hamburg, Germany",Sea Of Japan; East China Sea; Philippine Sea; South China Sea; Strait Of Malacca; Andaman Sea; Bay Of Bengal; Indian Ocean; Laccadive Sea; Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Busan, South Korea","Port of Hamburg, Germany",Sea Of Japan; East China Sea; Philippine Sea; South China Sea; Strait Of Malacca; Andaman Sea; Bay Of Bengal; Indian Ocean; Laccadive Sea; Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Jawaharlal Nehru, India","Port of Hamburg, Germany",Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Chennai, India","Port of Hamburg, Germany",Bay Of Bengal; Palk Strait; Gulf Of Mannar; Laccadive Sea; Arabian Sea; Indian Ocean; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Cork, Ireland","Port of Hamburg, Germany",North Atlantic Ocean; Bristol Channel; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Barcelona, Spain","Port of Hamburg, Germany",Balearic Sea; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Genoa, Italy","Port of Hamburg, Germany",Ligurian Sea; Mediterranean Sea; Golfe Du Lion Gulf; Balearic Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Genoa, Italy","Port of Hamburg, Germany",Ligurian Sea; Mediterranean Sea; Golfe Du Lion Gulf; Balearic Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Nice, France","Port of Hamburg, Germany",Mediterranean Sea; Golfe Du Lion Gulf; Balearic Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of London, UK","Port of Hamburg, Germany",Thames River; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Toronto, Canada","Port of Hamburg, Germany",Allegheny River; Ohio River; Tennessee River; Mississippi River; Gulf Of Mexico; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Gdańsk, Poland","Port of Hamburg, Germany",Baltic Sea; Kattegat Sea; Skagerrak Fjord; North Sea; Elbe River
"Port of Tunis, Tunisia","Port of Hamburg, Germany",Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Santos, Brazil","Port of Hamburg, Germany",South Atlantic Ocean; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port Botany, Sydney","Port of Hamburg, Germany",Tasman Sea; Coral Sea; Arafura Sea; Timor Sea; Indian Ocean; Arabian Sea; Gulf Of Aden; Red Sea; Gulf Of Suez; Suez Canal River; Suez Canal; Ismailiya Canal River; Nile River; Damietta Branch River; Mediterranean Sea; Alboran Sea; Strait Of Gibraltar; North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
"Port of Casablanca, Morocco","Port of Hamburg, Germany",North Atlantic Ocean; Bay Of Biscay; English Channel; North Sea; Ijsselmeer Lagoon; Elbe River
